date,Team_1,Team_2,Winner,Margin,Ground
10/28/2011,South Africa,Australia,Australia,3 wickets,Durban
1/11/2012,South Africa,Sri Lanka,South Africa,258 runs,Paarl
1/14/2012,South Africa,Sri Lanka,South Africa,5 wickets,East London
1/17/2012,South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein
1/20/2012,South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley
1/22/2012,South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg
2/25/2012,New Zealand,South Africa,South Africa,6 wickets,Wellington
2/29/2012,New Zealand,South Africa,South Africa,6 wickets,Napier
3/3/2012,New Zealand,South Africa,South Africa,5 wickets,Auckland
8/24/2012,England,South Africa,England,-,Cardiff
8/28/2012,England,South Africa,South Africa,80 runs,Southampton
8/31/2012,England,South Africa,England,4 wickets,The Oval
9/2/2012,England,South Africa,England,6 wickets,Lord's
9/5/2012,England,South Africa,South Africa,7 wickets,Nottingham
1/19/2013,South Africa,New Zealand,New Zealand,1 wickets,Paarl
1/22/2013,South Africa,New Zealand,New Zealand,27 runs,Kimberley
1/25/2013,South Africa,New Zealand,South Africa,1 wickets,Potchefstroom
3/10/2013,South Africa,Pakistan,South Africa,125 runs,Bloemfontein
3/15/2013,South Africa,Pakistan,Pakistan,6 wickets,Centurion
3/17/2013,South Africa,Pakistan,South Africa,34 runs,Johannesburg
3/21/2013,South Africa,Pakistan,Pakistan,3 wickets,Durban
3/24/2013,South Africa,Pakistan,South Africa,6 wickets,Benoni
5/31/2013,Netherlands,South Africa,South Africa,83 runs,Amstelveen
6/6/2013,India,South Africa,India,26 runs,Cardiff
6/10/2013,Pakistan,South Africa,South Africa,67 runs,Birmingham
6/14/2013,South Africa,West Indies,West Indies,-,Cardiff
6/19/2013,England,South Africa,England,7 wickets,The Oval
7/20/2013,Sri Lanka,South Africa,Sri Lanka,180 runs,Colombo (RPS)
7/23/2013,Sri Lanka,South Africa,Sri Lanka,17 runs,Colombo (RPS)
7/26/2013,Sri Lanka,South Africa,South Africa,56 runs,Pallekele
7/28/2013,Sri Lanka,South Africa,Sri Lanka,8 wickets,Pallekele
7/31/2013,Sri Lanka,South Africa,Sri Lanka,128 runs,Colombo (RPS)
10/30/2013,Pakistan,South Africa,South Africa,1 runs,Sharjah
11/1/2013,Pakistan,South Africa,Pakistan,66 runs,Dubai (DSC)
11/6/2013,Pakistan,South Africa,South Africa,68 runs,Abu Dhabi
11/8/2013,Pakistan,South Africa,South Africa,28 runs,Abu Dhabi
11/11/2013,Pakistan,South Africa,South Africa,117 runs,Sharjah
11/24/2013,South Africa,Pakistan,Pakistan,23 runs,Cape Town
11/27/2013,South Africa,Pakistan,Pakistan,1 runs,Port Elizabeth
11/30/2013,South Africa,Pakistan,South Africa,4 wickets,Centurion
12/5/2013,South Africa,India,South Africa,141 runs,Johannesburg
12/8/2013,South Africa,India,South Africa,134 runs,Durban
12/11/2013,South Africa,India,India,-,Centurion
7/6/2014,Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS)
7/9/2014,Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele
7/12/2014,Sri Lanka,South Africa,South Africa,82 runs,Hambantota
8/17/2014,Zimbabwe,South Africa,South Africa,93 runs,Bulawayo
8/19/2014,Zimbabwe,South Africa,South Africa,61 runs,Bulawayo
8/21/2014,Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo
8/27/2014,Australia,South Africa,South Africa,7 wickets,Harare
8/29/2014,Zimbabwe,South Africa,South Africa,61 runs,Harare
9/2/2014,Australia,South Africa,Australia,62 runs,Harare
9/4/2014,Zimbabwe,South Africa,South Africa,63 runs,Harare
9/6/2014,Australia,South Africa,South Africa,6 wickets,Harare
10/21/2014,New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui
10/24/2014,New Zealand,South Africa,South Africa,72 runs,Mount Maunganui
10/27/2014,New Zealand,South Africa,New Zealand,-,Hamilton
11/14/2014,Australia,South Africa,Australia,32 runs,Perth
11/16/2014,Australia,South Africa,South Africa,3 wickets,Perth
11/19/2014,Australia,South Africa,Australia,73 runs,Canberra
11/21/2014,Australia,South Africa,Australia,3 wickets,Melbourne
11/23/2014,Australia,South Africa,Australia,2 wickets,Sydney
1/16/2015,South Africa,West Indies,South Africa,61 runs,Durban
1/18/2015,South Africa,West Indies,South Africa,148 runs,Johannesburg
1/21/2015,South Africa,West Indies,South Africa,9 wickets,East London
1/25/2015,South Africa,West Indies,West Indies,1 wickets,Port Elizabeth
1/28/2015,South Africa,West Indies,South Africa,131 runs,Centurion
2/15/2015,South Africa,Zimbabwe,South Africa,62 runs,Hamilton
2/22/2015,India,South Africa,India,130 runs,Melbourne
2/27/2015,South Africa,West Indies,South Africa,257 runs,Sydney
3/3/2015,Ireland,South Africa,South Africa,201 runs,Canberra
3/7/2015,Pakistan,South Africa,Pakistan,29 runs,Auckland
3/12/2015,South Africa,U.A.E.,South Africa,146 runs,Wellington
3/18/2015,South Africa,Sri Lanka,South Africa,9 wickets,Sydney
3/24/2015,New Zealand,South Africa,New Zealand,4 wickets,Auckland
7/10/2015,Bangladesh,South Africa,South Africa,8 wickets,Dhaka
7/12/2015,Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka
7/15/2015,Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram
8/19/2015,South Africa,New Zealand,South Africa,20 runs,Centurion
8/23/2015,South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom
8/26/2015,South Africa,New Zealand,South Africa,62 runs,Durban
10/11/2015,India,South Africa,South Africa,5 runs,Kanpur
10/14/2015,India,South Africa,India,22 runs,Indore
10/18/2015,India,South Africa,South Africa,18 runs,Rajkot
10/22/2015,India,South Africa,India,35 runs,Chennai
10/25/2015,India,South Africa,South Africa,214 runs,Mumbai
2/3/2016,South Africa,England,England,39 runs,Bloemfontein
2/6/2016,South Africa,England,England,5 wickets,Port Elizabeth
2/9/2016,South Africa,England,South Africa,7 wickets,Centurion
2/12/2016,South Africa,England,South Africa,1 wickets,Johannesburg
2/14/2016,South Africa,England,South Africa,5 wickets,Cape Town
6/3/2016,West Indies,South Africa,West Indies,4 wickets,Providence
6/7/2016,Australia,South Africa,South Africa,47 runs,Providence
6/11/2016,Australia,South Africa,Australia,36 runs,Basseterre
6/15/2016,West Indies,South Africa,South Africa,139 runs,Basseterre
6/19/2016,Australia,South Africa,Australia,-,Bridgetown
6/24/2016,West Indies,South Africa,West Indies,100 runs,Bridgetown
9/25/2016,South Africa,Ireland,South Africa,206 runs,Benoni
9/30/2016,South Africa,Australia,South Africa,6 wickets,Centurion
10/2/2016,South Africa,Australia,South Africa,142 runs,Johannesburg
10/5/2016,South Africa,Australia,South Africa,4 wickets,Durban
10/9/2016,South Africa,Australia,South Africa,6 wickets,Port Elizabeth
10/12/2016,South Africa,Australia,South Africa,31 runs,Cape Town
1/28/2017,South Africa,Sri Lanka,South Africa,8 wickets,Port Elizabeth
2/1/2017,South Africa,Sri Lanka,South Africa,121 runs,Durban
2/4/2017,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg
2/7/2017,South Africa,Sri Lanka,South Africa,40 runs,Cape Town
2/10/2017,South Africa,Sri Lanka,South Africa,88 runs,Centurion
2/19/2017,New Zealand,South Africa,South Africa,4 wickets,Hamilton
2/22/2017,New Zealand,South Africa,New Zealand,6 runs,Christchurch
2/25/2017,New Zealand,South Africa,South Africa,159 runs,Wellington
3/1/2017,New Zealand,South Africa,New Zealand,7 wickets,Hamilton
3/4/2017,New Zealand,South Africa,South Africa,6 wickets,Auckland
5/24/2017,England,South Africa,England,72 runs,Leeds
5/27/2017,England,South Africa,England,2 runs,Southampton
5/29/2017,England,South Africa,South Africa,7 wickets,Lord's
6/3/2017,South Africa,Sri Lanka,South Africa,96 runs,The Oval
6/7/2017,Pakistan,South Africa,Pakistan,19 runs,Birmingham
6/11/2017,India,South Africa,India,8 wickets,The Oval
10/15/2017,South Africa,Bangladesh,South Africa,10 wickets,Kimberley
10/18/2017,South Africa,Bangladesh,South Africa,104 runs,Paarl
10/22/2017,South Africa,Bangladesh,South Africa,200 runs,East London
2/1/2018,South Africa,India,India,6 wickets,Durban
2/4/2018,South Africa,India,India,9 wickets,Centurion
2/7/2018,South Africa,India,India,124 runs,Cape Town
2/10/2018,South Africa,India,South Africa,5 wickets,Johannesburg
2/13/2018,South Africa,India,India,73 runs,Port Elizabeth
2/16/2018,South Africa,India,India,8 wickets,Centurion
7/29/2018,Sri Lanka,South Africa,South Africa,5 wickets,Dambulla
8/1/2018,Sri Lanka,South Africa,South Africa,4 wickets,Dambulla
8/5/2018,Sri Lanka,South Africa,South Africa,78 runs,Pallekele
8/8/2018,Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele
8/12/2018,Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS)
9/30/2018,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley
10/3/2018,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein
10/6/2018,South Africa,Zimbabwe,South Africa,4 wickets,Paarl
11/4/2018,Australia,South Africa,South Africa,6 wickets,Perth
11/9/2018,Australia,South Africa,Australia,7 runs,Adelaide
11/11/2018,Australia,South Africa,South Africa,40 runs,Hobart
1/19/2019,South Africa,Pakistan,Pakistan,5 wickets,Port Elizabeth
1/22/2019,South Africa,Pakistan,South Africa,5 wickets,Durban
