Name,Country,Starting Year,Ending Year,Matches,Batting Runs,Highest Score,Batting Average,Hundreds,Wickets,Best Bowling Figures Wickets,Best Bowling Figures Runs,Bowling Average,5 Wickets,Average Difference,Wicketkeeper
Rubel Hossain,BDESH,2009,2019,101,140,17,5,0,126,6,26,34.12,1,-29.12,no
CR Woakes,ENG,2011,2020,101,1226,95*,25.02,0,143,6,45,30.65,3,-5.63,no
NV Knight,ENG,1996,2003,100,3637,125*,40.41,5,-,-,-,-,-,-,no
Sikandar Raza,ZIM,2013,2020,100,2801,141,34.58,3,59,3,21,41.49,0,-6.91,no
TWM Latham,NZ,2012,2020,99,2696,137,32.87,4,-,-,-,-,-,-,no
J Garner,WI,1977,1987,98,239,37,9.19,0,146,5,31,18.84,3,-9.65,no
IDS Smith,NZ,1980,1992,98,1055,62*,17.29,0,-,-,-,-,-,-,no
JN Gillespie,AUS,1996,2005,97,289,44*,12.56,0,142,5,22,25.42,3,-12.86,no
KJ Hughes,AUS,1977,1985,97,1968,98,24,0,0,-,-,-,0,-,no
AG Cremer,ZIM,2009,2018,96,744,58,14.58,0,119,6,46,30.22,3,-15.63,no
DK Morrison,NZ,1987,1996,96,171,20*,9,0,126,5,34,27.53,2,-18.53,no
BA Stokes,ENG,2011,2019,95,2682,102*,40.63,3,70,5,61,41.71,1,-1.07,no
PA Strang,ZIM,1994,2001,95,1090,47,22.24,0,96,5,21,33.05,2,-10.8,no
DNT Zoysa,SL,1997,2007,95,343,47*,13.19,0,108,5,26,29.75,1,-16.55,no
KD Karthik,INDIA,2004,2019,94,1752,79,30.2,0,-,-,-,-,-,-,no
KS More,INDIA,1984,1993,94,563,42*,13.09,0,-,-,-,-,-,-,no
DR Tuffey,NZ,2000,2010,94,295,36,9.51,0,110,4,24,32.12,0,-22.61,no
MS Wade,AUS,2012,2017,94,1777,100*,25.75,1,-,-,-,-,-,-,no
CR Ervine,ZIM,2010,2019,93,2571,130*,32.54,3,-,-,-,-,-,-,no
MC Snedden,NZ,1980,1990,93,535,64,15.28,0,114,4,34,28.39,0,-13.1,no
AN Cook,ENG,2006,2014,92,3204,137,36.4,5,-,-,-,-,-,-,yes
MW Gatting,ENG,1977,1993,92,2095,115*,29.5,1,10,3,32,33.6,0,-4.09,no
RW Marsh,AUS,1971,1984,92,1225,66,20.08,0,-,-,-,-,-,-,no
R Rampaul,WI,2003,2015,92,362,86*,12.48,0,117,5,49,29.35,2,-16.86,no
PR Reiffel,AUS,1992,1999,92,503,58,13.97,0,106,4,13,29.2,0,-15.23,no
KAJ Roach,WI,2008,2019,92,308,34,13.39,0,124,6,27,30.34,3,-16.95,no
MA Starc,AUS,2010,2020,91,371,52*,11.59,0,178,6,28,22.22,7,-10.63,no
CL White,AUS,2005,2018,91,2072,105,33.96,2,12,3,5,29.25,0,4.71,no
GJ Bailey,AUS,2012,2016,90,3044,156,40.58,3,-,-,-,-,-,-,no
TA Boult,NZ,2012,2020,90,159,21*,9.35,0,164,7,34,25.29,5,-15.93,no
SL Campbell,WI,1994,2001,90,2283,105,26.24,2,8,4,30,21.25,0,4.99,no
KO Otieno,KENYA,1996,2009,90,2016,144,23.44,2,0,-,-,-,0,-,no
AM Rahane,INDIA,2011,2018,90,2962,111,35.26,3,-,-,-,-,-,-,no
JJ Roy,ENG,2015,2020,90,3459,180,41.17,9,-,-,-,-,-,-,no
JE Taylor,WI,2003,2017,90,278,43*,8.42,0,128,5,48,29.53,1,-21.1,no
CB Wishart,ZIM,1996,2005,90,1719,172*,23.22,2,0,-,-,-,0,-,no
AC Hudson,SA,1991,1997,89,2559,161,29.41,2,0,-,-,-,0,-,no
LE Plunkett,ENG,2005,2019,89,646,56,20.83,0,135,5,52,29.7,1,-8.86,no
Wahab Riaz,PAK,2008,2019,89,680,54*,13.87,0,115,5,46,34.87,1,-21,no
JV Coney,NZ,1979,1987,88,1874,66*,30.72,0,54,4,46,37.75,0,-7.03,no
DW Fleming,AUS,1994,2001,88,152,29,11.69,0,134,5,36,25.38,1,-13.69,no
AJ Hall,SA,1999,2007,88,905,81,21.04,0,95,5,18,26.47,1,-5.42,no
N Hussain,ENG,1989,2003,88,2332,115,30.28,1,-,-,-,-,-,-,no
GH Dockrell,IRE,2010,2019,87,579,62*,16.54,0,89,4,24,37.38,0,-20.83,no
AH Jones,NZ,1987,1995,87,2784,93,35.69,0,4,2,42,54,0,-18.3,no
CH Lloyd,WI,1973,1985,87,1977,102,39.54,1,8,2,4,26.25,0,13.29,no
BAW Mendis,SL,2008,2015,87,188,21*,8.17,0,152,6,13,21.86,3,-13.69,no
Mohammad Sami,PAK,2001,2015,87,314,46,11.62,0,121,5,10,29.47,1,-17.84,no
SP O'Donnell,AUS,1985,1991,87,1242,74*,25.34,0,108,5,13,28.72,1,-3.37,no
RG Twose,NZ,1995,2001,87,2717,103,38.81,1,4,2,31,58.75,0,-19.93,no
RS Kalpage,SL,1992,1999,86,844,51,20.58,0,73,4,36,40.75,0,-20.16,no
JK Kamande,KENYA,1999,2011,86,1055,74,17.29,0,48,4,36,45.18,0,-27.89,no
VVS Laxman,INDIA,1998,2006,86,2338,131,30.76,6,0,-,-,-,0,-,no
Saleem Yousuf,PAK,1982,1990,86,768,62,17.86,0,-,-,-,-,-,-,no
MP Vaughan,ENG,2001,2007,86,1982,90*,27.15,0,16,4,22,40.56,0,-13.41,no
Aftab Ahmed,BDESH,2004,2010,85,1954,92,24.73,0,12,5,31,54.66,1,-29.93,no
M Amarnath,INDIA,1975,1989,85,1924,102*,30.53,2,46,3,12,42.84,0,-12.3,no
WKM Benjamin,WI,1986,1995,85,298,31,7.45,0,100,5,22,30.79,1,-23.33,no
TT Bresnan,ENG,2006,2015,85,871,80,19.79,0,109,5,48,34.98,1,-15.18,no
JM Kemp,Afr/SA,2001,2007,85,1512,100*,31.5,1,32,3,20,31.71,0,-0.21,no
RAS Lakmal,SL,2009,2019,85,244,26,9.38,0,107,4,13,32.5,0,-23.12,no
L Ronchi,AUS/NZ,2008,2017,85,1397,170*,23.67,1,-,-,-,-,-,-,no
IR Bishop,WI,1988,1997,84,405,33*,16.2,0,118,5,25,26.5,2,-10.29,no
CD Collymore,WI,1999,2007,84,104,13*,5.77,0,83,5,51,35.22,1,-29.45,no
MJ Greatbatch,NZ,1988,1996,84,2206,111,28.28,2,0,-,-,-,0,-,no
JR Hopes,AUS,2005,2010,84,1326,63*,25.01,0,67,5,14,35.58,1,-10.56,no
NL McCullum,NZ,2009,2015,84,1070,65,20.98,0,63,3,24,46.92,0,-25.94,no
Mohammad Shahzad,AFG,2009,2019,84,2727,131*,33.66,6,-,-,-,-,-,-,yes
CB Mpofu,ZIM,2004,2020,84,57,9*,2.85,0,93,6,52,38.5,1,-35.65,no
Samiullah Shinwari,AFG,2009,2019,84,1811,96,29.2,0,46,4,31,37.58,0,-8.37,no
PS de Villiers,SA,1992,1997,83,170,20*,8.09,0,95,4,27,27.74,0,-19.65,no
GD Elliott,NZ,2008,2016,83,1976,115,34.06,2,39,4,31,30.23,0,3.83,no
HA Gomes,WI,1978,1987,83,1415,101,28.87,1,41,4,31,25.48,0,3.38,no
PL Taylor,AUS,1987,1992,83,437,54*,19.86,0,97,4,38,28.24,0,-8.38,no
GM Wood,AUS,1978,1989,83,2219,114*,33.62,3,-,-,-,-,-,-,no
SE Bond,NZ,2002,2010,82,292,31*,16.22,0,147,6,19,20.88,4,-4.66,no
Dawlat Zadran,AFG,2011,2019,82,513,47*,17.68,0,115,4,22,29.76,0,-12.07,no
DD Ebrahim,ZIM,2001,2005,82,1443,121,20.61,1,0,-,-,-,0,-,no
GP Thorpe,ENG,1993,2002,82,2380,89,37.18,0,2,2,15,48.5,0,-11.31,no
Ahmed Shehzad,PAK,2009,2017,81,2605,124,32.56,6,2,1,22,70,0,-37.43,no
DJ Nash,NZ,1992,2002,81,624,42,15.6,0,64,4,38,40.96,0,-25.36,no
JM Bairstow,ENG,2011,2020,80,3011,141*,46.32,9,-,-,-,-,-,-,yes
MA Ouma,KENYA,2004,2014,80,1501,61,20.84,0,-,-,-,-,-,-,no
I Sharma,INDIA,2007,2016,80,72,13,4.8,0,115,4,34,30.98,0,-26.18,no
PL Symcox,SA,1993,1999,80,694,61,16.92,0,72,4,28,38.36,0,-21.43,no
Imran Nazir,PAK,1999,2009,79,1895,160,24.61,2,1,1,3,48,0,-23.38,no
GF Lawson,AUS,1980,1989,79,378,33*,11.11,0,88,4,26,29.45,0,-18.33,no
LRD Mendis,SL,1975,1989,79,1527,80,23.49,0,-,-,-,-,-,-,no
A Nel,SA,2001,2008,79,127,30*,12.7,0,106,5,45,27.68,1,-14.98,no
PJ Ongondo,Afr/KENYA,1999,2011,79,391,36,9.09,0,78,5,51,30.12,1,-21.03,no
RJ Peterson,SA,2002,2014,79,556,68,20.59,0,75,4,12,35.73,0,-15.14,no
GP Swann,ENG,2000,2013,79,500,34,13.88,0,104,5,28,27.76,1,-13.88,no
MN Waller,ZIM,2009,2018,79,1259,99*,19.07,0,10,2,44,56.6,0,-37.52,no
RD Berrington,SCOT,2008,2019,78,1882,101*,28.08,1,32,4,40,38.37,0,-10.28,no
J Botha,Afr/SA,2005,2012,78,609,46,19.03,0,72,4,19,40.5,0,-21.46,no
BL Cairns,NZ,1974,1985,78,987,60,16.72,0,89,5,28,30.52,1,-13.79,no
SD Hope,WI,2016,2020,78,3289,170,52.2,9,-,-,-,-,-,-,no
Imrul Kayes,BDESH,2008,2018,78,2434,144,32.02,4,-,-,-,-,-,-,no
EC Joyce,ENG/IRE,2006,2018,78,2622,160*,38,6,-,-,-,-,-,-,no
BM McMillan,SA,1991,1998,78,841,127,23.36,1,70,4,32,36.98,0,-13.62,no
JR Ratnayeke,SL,1982,1990,78,824,50,14.98,0,85,4,23,33.71,0,-18.73,no
Salman Butt,PAK,2004,2010,78,2725,136,36.82,8,0,-,-,-,0,-,yes
Khaled Mahmud,BDESH,1998,2006,77,991,50,14.36,0,67,4,19,42.76,0,-28.39,no
Mohammed Shami,INDIA,2013,2020,77,147,25,7.73,0,144,5,69,25.42,1,-17.68,no
AC Cummins,CAN/WI,1991,2007,76,486,44*,13.5,0,91,5,31,31.61,1,-18.11,no
Junaid Khan,PAK,2011,2019,76,68,25,4.85,0,110,4,12,29.23,0,-24.37,no
BKG Mendis,SL,2016,2020,76,2167,119,30.52,2,0,-,-,-,0,-,no
TM Moody,AUS,1987,1999,76,1211,89,23.28,0,52,3,25,38.73,0,-15.44,no
JJ Crowe,NZ,1983,1990,75,1518,88*,25.72,0,0,-,-,-,0,-,no
NH Fairbrother,ENG,1987,1999,75,2092,113,39.47,1,0,-,-,-,0,-,no
Mohsin Khan,PAK,1977,1986,75,1877,117*,26.81,2,1,1,2,5,0,21.81,no
DN Patel,NZ,1987,1997,75,623,71,11.75,0,45,3,22,50.24,0,-38.48,no
K Rabada,SA,2015,2019,75,259,31*,16.18,0,117,6,16,27.34,1,-11.15,no
WB Rankin,ENG/IRE,2007,2020,75,100,18*,7.69,0,106,4,15,27.87,0,-20.18,no
Shahriar Nafees,BDESH,2005,2011,75,2201,123*,31.44,4,-,-,-,-,-,-,no
LPC Silva,SL,1999,2011,75,1587,107*,28.85,1,1,1,21,33,0,-4.14,no
UT Yadav,INDIA,2010,2018,75,79,18*,7.9,0,106,4,31,33.63,0,-25.73,no
Babar Azam,PAK,2015,2019,74,3359,125*,54.17,11,-,-,-,-,-,-,no
GS Chappell,AUS,1971,1983,74,2331,138*,40.18,3,72,5,15,29.12,2,11.06,no
SV Manjrekar,INDIA,1988,1996,74,1994,105,33.23,1,1,1,2,10,0,23.23,no
Naved-ul-Hasan,PAK,2003,2010,74,524,33,15.87,0,110,6,27,29.28,1,-13.4,no
DO Obuya,KENYA,2001,2012,74,1355,93,19.35,0,-,-,-,-,-,-,no
BA Young,NZ,1990,1999,74,1668,74,24.52,0,-,-,-,-,-,-,no
IJ Harvey,AUS,1997,2004,73,715,48*,17.87,0,85,4,16,30.31,0,-12.44,no
KM Jadhav,INDIA,2014,2020,73,1389,120,42.09,2,27,3,23,37.77,0,4.31,no
SE Marsh,AUS,2008,2019,73,2773,151,40.77,7,-,-,-,-,-,-,no
Rahmat Shah,AFG,2013,2019,73,2359,114,35.2,4,14,5,32,36,1,-0.79,no
RMH Binny,INDIA,1980,1987,72,629,57,16.12,0,77,4,29,29.35,0,-13.22,no
CK Langeveldt,SA,2001,2010,72,73,12,6.63,0,100,5,39,29.62,2,-22.98,no
MJ Santner,NZ,2015,2020,72,924,67,27.17,0,71,5,50,37.47,1,-10.3,no
MW Goodwin,ZIM,1998,2000,71,1818,112*,27.13,2,4,1,12,52.5,0,-25.36,no
HMRKB Herath,SL,2004,2015,71,140,17*,9.33,0,74,4,20,31.91,0,-22.58,no
RM Hogg,AUS,1979,1985,71,137,22,9.13,0,85,4,29,28.44,0,-19.31,no
Rashid Khan,AFG,2015,2019,71,905,60*,19.25,0,133,7,18,18.54,4,0.7,no
OA Shah,ENG,2001,2009,71,1834,107*,30.56,1,7,3,15,26.28,0,4.28,no
RA Smith,ENG,1988,1996,71,2419,167*,39.01,4,-,-,-,-,-,-,no
A Balbirnie,IRE,2010,2020,70,2041,145*,32.39,6,2,1,26,34,0,-1.6,no
GB Brent,ZIM,1996,2008,70,408,59*,12,0,75,4,22,37.01,0,-25.01,no
TL Chatara,ZIM,2013,2019,70,165,23,6.6,0,95,4,33,30.57,0,-23.97,no
AD Hales,ENG,2014,2019,70,2419,171,37.79,6,-,-,-,-,-,-,no
GP Howarth,NZ,1975,1985,70,1384,76,23.06,0,3,1,4,22.66,0,0.4,no
MM Patel,INDIA,2006,2011,70,74,15,6.72,0,86,4,29,30.26,0,-23.54,no
RJ Ratnayake,SL,1982,1993,70,612,33*,16.54,0,76,5,32,35.68,1,-19.14,no
Tauseef Ahmed,PAK,1982,1990,70,116,27*,10.54,0,55,4,38,40.85,0,-30.3,no
Alok Kapali,BDESH,2002,2011,69,1235,115,19.6,1,24,3,49,52.29,0,-32.68,no
JP Faulkner,AUS,2013,2017,69,1032,116,34.4,1,96,4,32,30.85,0,3.54,no
ST Finn,ENG,2011,2017,69,136,35,8,0,102,5,33,29.37,2,-21.37,no
DJ Hussey,AUS,2008,2013,69,1796,111,32.65,1,18,4,21,38.77,0,-6.12,no
SB Joshi,INDIA,1996,2001,69,584,61*,17.17,0,69,5,6,36.36,1,-19.18,no
NN Odhiambo,KENYA,2006,2014,69,528,66,12,0,70,4,61,36.92,0,-24.92,no
P Kumar,INDIA,2007,2012,68,292,54*,13.9,0,77,4,31,36.02,0,-22.12,no
MJ Prior,ENG,2004,2011,68,1282,87,24.18,0,-,-,-,-,-,-,no
LMP Simmons,WI,2006,2015,68,1958,122,31.58,2,1,1,3,172,0,-140.41,no
IJL Trott,ENG,2009,2013,68,2819,137,51.25,4,2,2,31,83,0,-31.74,no
AJ Bichel,AUS,1997,2004,67,471,64,20.47,0,78,7,20,31.57,2,-11.09,no
DT Johnston,IRE,2006,2013,67,743,45*,19.55,0,66,5,14,32.04,1,-12.49,no
S Madan Lal,INDIA,1974,1987,67,401,53*,19.09,0,73,4,20,29.27,0,-10.17,no
Najibullah Zadran,AFG,2012,2019,67,1586,104*,29.92,1,0,-,-,-,0,-,no
Asif Mujtaba,PAK,1986,1996,66,1068,113*,26.04,1,7,2,38,94,0,-67.95,no
CS MacLeod,SCOT,2008,2019,66,2175,175,37.5,8,9,2,26,77.11,0,-39.61,no
HJH Marshall,NZ,2003,2007,66,1454,101*,27.43,1,-,-,-,-,-,-,no
Sabbir Rahman,BDESH,2014,2019,66,1333,102,25.63,1,3,1,12,115,0,-89.36,no
TM Alderman,AUS,1981,1991,65,32,9*,2.66,0,88,5,17,23.36,2,-20.69,no
Gulbadin Naib,AFG,2011,2019,65,1041,82*,21.68,0,59,6,43,33.35,1,-11.66,no
SP Narine,WI,2011,2016,65,363,36,11,0,92,6,27,26.46,2,-15.46,no
Nasir Hossain,BDESH,2011,2018,65,1281,100,29.11,1,24,3,26,41.16,0,-12.05,no
T Panyangara,ZIM,2004,2016,65,239,33,6.63,0,65,3,28,46.52,0,-39.88,no
WD Parnell,SA,2009,2017,65,508,56,21.16,0,94,5,48,29.12,2,-7.96,no
C Sharma,INDIA,1983,1994,65,456,101*,24,1,67,3,22,34.86,0,-10.86,no
JJ Bumrah,INDIA,2016,2020,64,19,10*,3.8,0,104,5,27,24.43,1,-20.63,no
PJ Cummins,AUS,2011,2020,64,260,36,9.62,0,105,5,70,27.55,1,-17.92,no
MA Ealham,ENG,1996,2001,64,716,45,17.46,0,67,5,15,32.79,2,-15.32,no
BA Edgar,NZ,1978,1986,64,1814,102*,30.74,1,0,-,-,-,0,-,no
ND McKenzie,SA,2000,2009,64,1688,131*,37.51,2,0,-,-,-,0,-,no
JF Mooney,IRE,2006,2015,64,963,96,23.48,0,48,4,27,34.06,0,-10.57,no
C Pringle,NZ,1990,1995,64,193,34*,8.77,0,103,5,45,23.87,1,-15.1,no
MA Suji,KENYA,1996,2006,64,247,16*,8.23,0,43,4,24,50.93,0,-42.69,no
RGD Willis,ENG,1973,1984,64,83,24,10.37,0,80,4,11,24.6,0,-14.22,no
DL Houghton,ZIM,1983,1997,63,1530,142,26.37,1,1,1,19,19,0,7.37,no
DK Lillee,AUS,1972,1983,63,240,42*,9.23,0,103,5,34,20.82,1,-11.59,no
RS Madugalle,SL,1979,1988,63,950,73,18.62,0,0,-,-,-,0,-,no
HS Modi,KENYA,1996,2006,63,1109,78*,23.59,0,0,-,-,-,0,-,no
JDS Neesham,NZ,2013,2020,63,1286,97*,29.22,0,61,5,31,32.98,1,-3.75,no
Shoaib Mohammad,PAK,1984,1993,63,1269,126*,24.4,1,20,3,20,36.25,0,-11.84,no
HA Varaiya,KENYA,2006,2014,63,252,34,12,0,68,4,25,30.11,0,-18.11,no
AR Whittall,ZIM,1996,2000,63,168,29,7.63,0,45,3,23,50.02,0,-42.38,no
A Bagai,CAN,2003,2013,62,1964,137*,37.76,2,-,-,-,-,-,-,no
IDR Bradshaw,WI,2004,2007,62,287,37,12.47,0,78,3,15,29.47,0,-16.99,no
AF Giles,ENG,1997,2005,62,385,41,17.5,0,55,5,57,37.61,1,-20.11,no
Iftikhar Anjum,PAK,2004,2010,62,234,32,15.6,0,77,5,30,31.55,1,-15.95,no
CPH Ramanayake,SL,1986,1995,62,210,26,10,0,68,4,17,30.13,0,-20.13,no
Sohail Tanvir,PAK,2007,2014,62,399,59,13.75,0,71,5,48,36.14,1,-22.38,no
Zaheer Abbas,PAK,1974,1985,62,2572,123,47.62,7,7,2,26,31.85,0,15.77,no
JE Emburey,ENG,1980,1993,61,501,34,14.31,0,76,4,37,30.86,0,-16.55,no
DA Gunawardene,SL,1998,2006,61,1708,132,28.46,1,-,-,-,-,-,-,no
Mohammad Amir,PAK,2009,2019,61,363,73*,18.15,0,81,5,30,29.62,1,-11.47,no
MO Odumbe,KENYA,1996,2003,61,1409,83,26.09,0,39,4,38,46.33,0,-20.24,no
BA Reid,AUS,1986,1992,61,49,10,3.76,0,63,5,53,34.96,1,-31.19,no
LL Tsotsobe,SA,2009,2013,61,56,16*,7,0,94,4,22,24.96,0,-17.96,no
W Watson,NZ,1986,1994,61,86,21,7.81,0,74,4,27,30.36,0,-22.54,no
AR White,IRE,2006,2014,61,776,79,18.04,0,25,4,44,27.52,0,-9.47,no
Asad Shafiq,PAK,2010,2017,60,1336,84,24.74,0,0,-,-,-,0,-,no
XJ Doherty,AUS,2010,2015,60,101,15*,14.42,0,55,4,28,40.43,0,-26,no
Kuldeep Yadav,INDIA,2017,2020,60,118,19,13.11,0,104,6,25,26.16,1,-13.05,no
Mohammad Irfan,PAK,2010,2016,60,48,12,4,0,83,4,30,30.71,0,-26.71,no
Shafiul Islam,BDESH,2010,2020,60,134,24*,6.09,0,70,4,21,36.12,0,-30.03,no
AO Suji,KENYA,1996,2008,60,506,67,12.97,0,21,2,14,55.95,0,-42.97,no
F Behardien,SA,2013,2018,59,1074,70,30.68,0,14,3,19,51.35,0,-20.67,no
EA Brandes,ZIM,1987,1999,59,404,55,13.03,0,70,5,28,32.37,2,-19.33,no
KJ Coetzer,SCOT,2008,2019,59,2409,156,43.8,4,1,1,35,203,0,-159.19,no
AR Cusack,IRE,2007,2015,59,745,71,22.57,0,63,5,20,23.96,1,-1.39,no
Javed Omar,BDESH,1995,2007,59,1312,85*,23.85,0,-,-,-,-,-,-,no
CJ McKay,AUS,2009,2014,59,190,30,9.04,0,97,5,28,24.37,2,-15.32,no
Maninder Singh,INDIA,1983,1993,59,49,8*,12.25,0,66,4,22,31.3,0,-19.05,no
GRJ Matthews,AUS,1984,1993,59,619,54,16.72,0,57,3,27,35.15,0,-18.42,no
Naeem Islam,BDESH,2008,2014,59,975,84,27.08,0,35,3,32,40.2,0,-13.11,no
BP Patterson,WI,1986,1993,59,44,13*,8.8,0,90,6,29,24.51,1,-15.71,no
Arshad Khan,PAK,1993,2006,58,133,20,12.09,0,56,4,33,34.78,0,-22.69,no
PW Borren,NL,2006,2014,58,1004,96,22.31,0,46,4,32,35.21,0,-12.9,no
RL Dias,SL,1979,1987,58,1573,121,31.46,2,3,3,25,23.33,0,8.12,no
SJ Harmison,ENG,2002,2009,58,91,18*,8.27,0,76,5,33,32.64,1,-24.37,no
NM Hauritz,AUS,2002,2011,58,336,53*,22.4,0,63,4,29,34.15,0,-11.75,no
Imran Farhat,PAK,2001,2013,58,1719,107,30.69,1,6,3,10,18.33,0,12.36,yes
BMAJ Mendis,SL,2010,2019,58,636,72,18.7,0,28,3,15,43,0,-24.29,no
JA Morkel,Afr/SA,2004,2012,58,782,97,23.69,0,50,4,29,37.98,0,-14.28,no
TJ Murtagh,IRE,2012,2019,58,188,23*,7.83,0,74,5,21,30.94,1,-23.11,no
Mustafizur Rahman,BDESH,2015,2020,58,78,18*,7.8,0,109,6,43,23.04,5,-15.24,yes
AL Phehlukwayo,SA,2016,2020,58,563,69*,29.63,0,69,4,22,31.17,0,-1.54,no
RP Singh,INDIA,2005,2011,58,104,23,10.4,0,69,4,35,33.95,0,-23.55,no
ALF de Mel,SL,1982,1987,57,466,36,14.56,0,59,5,32,37.91,2,-23.35,no
MR Marsh,AUS,2011,2020,57,1539,102*,34.97,1,47,5,33,36.17,1,-1.19,no
D Mongia,INDIA,2001,2007,57,1230,159*,27.95,1,14,3,31,40.78,0,-12.83,no
C Munro,NZ,2013,2019,57,1271,87,24.92,0,7,2,10,68.71,0,-43.79,no
YK Pathan,INDIA,2008,2012,57,810,123*,27,2,33,3,49,41.36,0,-14.36,no
SC Williams,WI,1994,1999,57,1586,105*,32.36,1,1,1,30,30,0,2.36,no
B Zuiderent,NL,1996,2011,57,1097,77*,23.84,0,-,-,-,-,-,-,yes
DT Hondo,ZIM,2001,2005,56,127,17,7.47,0,61,4,37,35.59,0,-28.11,no
CR Matthews,SA,1991,1997,56,141,26,10.84,0,79,4,10,25,0,-14.15,no
RS Morton,WI,2002,2010,56,1519,110*,33.75,2,0,-,-,-,0,-,yes
AME Roberts,WI,1975,1983,56,231,37*,10.04,0,87,5,22,20.35,1,-10.31,no
AD Russell,WI,2011,2019,56,1034,92*,27.21,0,70,4,35,31.84,0,-4.63,no
RD Shah,KENYA,1998,2007,56,1506,113,27.88,1,0,-,-,-,0,-,yes
Tapash Baisya,BDESH,2002,2007,56,336,35*,12,0,59,4,16,41.55,0,-29.55,no
SA Thomson,NZ,1990,1996,56,964,83,22.95,0,42,3,14,38.14,0,-15.19,no
Yasir Hameed,PAK,2003,2007,56,2028,127*,36.87,3,0,-,-,-,0,-,no
JR Murray,WI,1992,1999,55,678,86,22.6,0,-,-,-,-,-,-,no
DBL Powell,WI,2002,2009,55,118,48*,5.36,0,71,4,27,31.53,0,-26.17,no
Raqibul Hasan,BDESH,2008,2011,55,1308,89,27.82,0,-,-,-,-,-,-,yes
AT Rayudu,INDIA,2013,2019,55,1694,124*,47.05,3,3,1,5,41.33,0,5.72,no
Soumya Sarkar,BDESH,2014,2019,55,1728,127*,33.88,2,9,3,56,35.33,0,-1.45,no
A Zampa,AUS,2016,2020,55,117,22,6.88,0,75,4,43,36.01,0,-29.13,no
MA Atherton,ENG,1990,1998,54,1791,127,35.11,2,-,-,-,-,-,-,no
AM Blignaut,ZIM,1999,2010,54,626,63*,18.96,0,50,4,43,41.26,0,-22.29,no
AR Caddick,ENG,1993,2003,54,249,36,12.45,0,69,4,19,28.47,0,-16.02,no
RM Haq,SCOT,2006,2015,54,566,71,16.64,0,60,5,54,32.91,1,-16.26,no
Junaid Siddique,BDESH,2007,2011,54,1196,100,23,1,0,-,-,-,0,-,no
DSBP Kuruppu,SL,1983,1990,54,1022,72,20.03,0,-,-,-,-,-,-,yes
SG Law,AUS,1994,1999,54,1237,110,26.89,1,12,2,22,52.91,0,-26.02,no
R McLaren,SA,2009,2014,54,485,71*,18.65,0,77,4,19,27.29,0,-8.64,no
Manzoor Elahi,PAK,1984,1995,54,741,50*,22.45,0,29,3,22,43.51,0,-21.06,no
AR Nurse,WI,2016,2019,54,502,44,19.3,0,49,4,51,43.36,0,-24.05,no
HH Pandya,INDIA,2016,2019,54,957,83,29.9,0,54,3,31,40.64,0,-10.74,no
MS Sinclair,NZ,2000,2009,54,1304,118*,28.34,2,-,-,-,-,-,-,yes
Wasim Raja,PAK,1973,1985,54,782,60,22.34,0,21,4,25,32.71,0,-10.37,no
Azhar Ali,PAK,2011,2018,53,1845,102,36.9,3,4,2,26,65,0,-28.09,no
JG Bracewell,NZ,1983,1990,53,512,43,16.51,0,33,2,3,57.09,0,-40.57,no
CN Evans,ZIM,1992,2002,53,764,96*,18.19,0,21,3,11,40.38,0,-22.19,no
Hasan Ali,PAK,2016,2019,53,280,59,14,0,82,5,34,29.03,3,-15.03,no
Imad Wasim,PAK,2015,2019,53,952,63*,41.39,0,42,5,14,44.4,1,-3.01,no
CC Lewis,ENG,1990,1998,53,374,33,14.38,0,66,4,30,29.42,0,-15.03,no
SLV Raju,INDIA,1990,1996,53,32,8,4,0,63,4,46,31.96,0,-27.96,no
TT Samaraweera,SL,1998,2011,53,862,105*,27.8,2,11,3,34,49.27,0,-21.46,no
GC Small,ENG,1987,1992,53,98,18*,6.53,0,58,4,31,33.48,0,-26.94,no
S Sreesanth,INDIA,2005,2011,53,44,10*,4,0,75,6,55,33.44,1,-29.43,no
DP Viljoen,ZIM,1997,2001,53,512,63*,14.22,0,44,3,20,37.25,0,-23.02,no
YS Chahal,INDIA,2016,2020,52,49,18*,8.16,0,91,6,42,25.83,2,-17.66,no
MH Cross,SCOT,2014,2019,52,1136,114,24.17,2,-,-,-,-,-,-,no
N Dickwella,SL,2014,2019,52,1571,116,32.72,2,-,-,-,-,-,-,no
MJ Henry,NZ,2014,2019,52,211,48*,15.07,0,92,5,30,26.48,2,-11.41,no
AG Prince,Afr/SA,2002,2007,52,1018,89*,35.1,0,0,-,-,-,0,-,no
CG Rackemann,AUS,1983,1991,52,34,9*,2.83,0,82,5,16,22.35,1,-19.52,no
Syed Rasel,BDESH,2005,2010,52,81,15,5.06,0,61,4,22,33.62,0,-28.56,no
TJ Friend,ZIM,2000,2004,51,548,91,16.11,0,37,4,55,48.08,0,-31.96,no
GO Jones,ENG/PNG,2004,2014,51,862,80,24.62,0,-,-,-,-,-,-,no
E Lewis,WI,2016,2020,51,1610,176*,35.77,3,-,-,-,-,-,-,no
Noor Ali Zadran,AFG,2009,2019,51,1216,114,24.81,1,-,-,-,-,-,-,no
Shahadat Hossain,BDESH,2006,2013,51,79,16*,7.9,0,47,3,34,45.59,0,-37.69,no
VS Solanki,ENG,2000,2006,51,1097,106,26.75,2,1,1,17,105,0,-78.24,no
