Name,Country,Starting Year,Ending Year,Matches,Batting Runs,Highest Score,Batting Average,Hundreds,Wickets,Best Bowling Figures Wickets,Best Bowling Figures Runs,Bowling Average,5 Wickets,Average Difference,Wicketkeeper
AB de Villiers,Afr/SA,2005,2018,228,9577,176,53.5,25,7,2,15,28.85,0,24.64,yes
CL Hooper,WI,1987,2003,227,5761,113*,35.34,7,193,4,34,36.05,0,-0.7,no
SL Malinga,SL,2004,2019,226,567,56,6.83,0,338,6,38,28.87,8,-22.04,no
SK Raina,INDIA,2005,2018,226,5615,116*,35.31,5,36,3,34,50.3,0,-14.99,no
N Kapil Dev,INDIA,1978,1994,225,3783,175*,23.79,1,253,5,43,27.45,1,-3.65,no
RB Richardson,WI,1983,1996,224,6248,122,33.41,5,1,1,4,46,0,-12.58,no
RG Sharma,INDIA,2007,2020,224,9115,264,49.27,29,8,2,27,64.37,0,-15.1,no
NJ Astle,NZ,1995,2007,223,7090,145*,34.92,16,99,4,43,38.47,0,-3.54,no
GW Flower,ZIM,1992,2010,221,6571,142*,33.52,6,104,4,32,40.62,0,-7.09,no
B Lee,AUS,2000,2012,221,1176,59,17.81,0,380,5,22,23.36,9,-5.54,no
Mashrafe Mortaza,Asia/BDESH,2001,2020,220,1787,51*,13.74,0,270,6,26,32.93,1,-19.19,no
Moin Khan,PAK,1990,2004,219,3266,72*,23,0,-,-,-,-,-,-,yes
Mohammad Hafeez,PAK,2003,2019,218,6614,140*,32.9,11,139,4,41,38.84,0,-5.94,no
Mushfiqur Rahim,BDESH,2006,2020,218,6174,144,36.31,7,-,-,-,-,-,-,yes
AD Mathews,SL,2008,2020,217,5830,139*,41.94,3,120,6,20,33.35,1,8.58,no
CL Cairns,ICC/NZ,1991,2006,215,4950,115,29.46,4,201,5,42,32.8,1,-3.34,no
E Chigumbura,Afr/ZIM,2004,2018,213,4340,117,25.23,2,101,4,28,42.31,0,-17.08,no
A Flower,ZIM,1992,2003,213,6786,145,35.34,4,0,-,-,-,0,-,no
RS Mahanama,SL,1986,1999,213,5162,119*,29.49,4,0,-,-,-,0,-,no
H Masakadza,ZIM,2001,2019,209,5658,178*,27.73,5,39,3,39,41.94,0,-14.21,no
DR Martyn,AUS,1992,2006,208,5346,144*,40.8,5,12,2,21,58.66,0,-17.85,no
MN Samuels,WI,2000,2018,207,5606,133*,32.97,10,89,3,12,46.37,0,-13.39,no
Tamim Iqbal,BDESH,2007,2020,207,7202,158,36.74,13,0,-,-,-,0,-,no
Shakib Al Hasan,BDESH,2006,2019,206,6323,134*,37.86,9,260,5,29,30.21,2,7.64,no
CA Walsh,WI,1985,2000,205,321,30,6.97,0,227,5,1,30.47,1,-23.49,no
Z Khan,Asia/INDIA,2000,2012,200,792,34*,12,0,282,5,42,29.43,1,-17.43,no
HP Tillakaratne,SL,1986,2003,200,3789,104,29.6,2,6,1,3,23.5,0,6.1,no
JP Duminy,SA,2004,2019,199,5117,150*,36.81,4,69,4,16,45.55,0,-8.73,no
Ramiz Raja,PAK,1985,1997,198,5841,119*,32.09,9,0,-,-,-,0,-,no
A Symonds,AUS,1998,2009,198,5088,156,39.75,6,133,5,18,37.25,1,2.49,no
PD Collingwood,ENG,2001,2011,197,5092,120*,35.36,5,111,6,31,38.68,1,-3.32,no
CD McMillan,NZ,1997,2007,197,4707,117,28.18,3,49,3,20,35.04,0,-6.85,no
GC Smith,Afr/SA,2002,2013,197,6989,141,37.98,10,18,3,30,52.83,0,-14.84,no
A Jadeja,INDIA,1992,2000,196,5359,119,37.47,6,20,3,3,54.7,0,-17.22,no
BRM Taylor,ZIM,2004,2020,196,6326,145*,35.14,10,9,3,54,45.11,0,-9.96,no
JM Anderson,ENG,2002,2015,194,273,28,7.58,0,269,5,23,29.22,2,-21.63,no
SK Warne,AUS/ICC,1993,2005,194,1018,55,13.05,0,293,5,33,25.73,1,-12.68,no
AB Agarkar,INDIA,1998,2007,191,1269,95,14.58,0,288,6,42,27.85,2,-13.26,no
SR Watson,AUS,2002,2015,190,5757,185*,40.54,9,168,4,36,31.79,0,8.74,no
RS Kaluwitharana,SL,1990,2004,189,3711,102*,22.22,2,-,-,-,-,-,-,no
HH Streak,Afr/ZIM,1993,2005,189,2943,79*,28.29,0,239,5,32,29.82,1,-1.53,no
ADR Campbell,ZIM,1992,2003,188,5185,131*,30.5,7,12,2,20,36.16,0,-5.66,no
WJ Cronje,SA,1992,2000,188,5565,112,38.64,2,114,5,32,34.78,1,3.85,no
Mahmudullah,BDESH,2007,2020,188,4070,128*,33.63,3,76,3,4,46.85,0,-13.21,no
SB Styris,NZ,1999,2011,188,4483,141,32.48,4,137,6,25,35.32,1,-2.83,no
IVA Richards,WI,1975,1991,187,6721,189*,47,11,118,6,41,35.83,2,11.16,no
MEK Hussey,AUS,2004,2012,185,5442,109*,48.15,3,2,1,22,117.5,0,-69.34,no
G Kirsten,SA,1993,2003,185,6798,188*,40.95,13,0,-,-,-,0,-,no
KMDN Kulasekara,SL,2003,2017,184,1327,73,15.43,0,199,5,22,33.92,1,-18.49,no
MJ Guptill,NZ,2009,2020,183,6843,237*,42.5,16,4,2,6,24.5,0,18,no
HM Amla,SA,2008,2019,181,8113,159,49.46,27,-,-,-,-,-,-,yes
DC Boon,AUS,1984,1995,181,5964,122,37.04,5,0,-,-,-,0,-,no
RR Sarwan,WI,2000,2013,181,5804,120*,42.67,5,16,3,31,36.62,0,6.05,no
RP Arnold,SL,1997,2007,180,3950,103,35.26,1,40,3,47,43.47,0,-8.2,no
AC Parore,NZ,1992,2002,179,3314,108,25.68,1,-,-,-,-,-,-,no
Mohammad Ashraful,Asia/BDESH,2001,2013,177,3468,109,22.23,3,18,3,26,36.72,0,-14.49,no
CEL Ambrose,WI,1988,2000,176,639,31*,10.65,0,225,5,17,24.12,4,-13.47,no
Imran Khan,PAK,1974,1992,175,3709,102*,33.41,1,182,6,14,26.61,1,6.79,no
M Ntini,ICC/SA,1998,2009,173,199,42*,8.65,0,266,6,22,24.65,4,-16,no
L Klusener,SA,1996,2004,171,3576,103*,41.1,2,192,6,49,29.95,6,11.15,no
KD Mills,NZ,2001,2015,170,1047,54,15.62,0,240,5,25,27.02,1,-11.39,no
AJ Stewart,ENG,1989,2003,170,4677,116,31.6,4,-,-,-,-,-,-,no
PJL Dujon,WI,1981,1991,169,1945,82*,23.15,0,-,-,-,-,-,-,no
Saqlain Mushtaq,PAK,1995,2003,169,711,37*,11.85,0,288,5,20,21.78,6,-9.93,no
IA Healy,AUS,1988,1997,168,1764,56,21,0,-,-,-,-,-,-,no
Rashid Latif,PAK,1992,2003,166,1709,79,19.42,0,-,-,-,-,-,-,no
RA Jadeja,INDIA,2009,2020,165,2296,87,31.88,0,187,5,36,36.57,1,-4.68,no
DJ Bravo,WI,2004,2014,164,2968,112*,25.36,2,199,6,43,29.51,1,-4.15,no
AA Donald,SA,1991,2003,164,95,13,4.31,0,272,6,23,21.78,2,-17.46,no
DM Jones,AUS,1984,1994,164,6068,145,44.61,7,3,2,34,27,0,17.61,no
NLTC Perera,SL,2009,2020,164,2316,140,20.13,1,172,6,44,32.95,4,-12.81,no
P Utseya,ZIM,2004,2015,164,1406,68*,16.73,0,133,5,36,46.9,1,-30.17,no
Aaqib Javed,PAK,1988,1998,163,267,45*,10.68,0,182,7,37,31.43,4,-20.75,no
Shoaib Akhtar,Asia/ICC/PAK,1998,2011,163,394,43,8.95,0,247,6,16,24.97,4,-16.02,no
Misbah-ul-Haq,PAK,2002,2015,162,5122,96*,43.4,0,0,-,-,-,0,-,no
IR Bell,ENG,2004,2015,161,5416,141,37.87,4,6,3,9,14.66,0,23.2,no
ML Hayden,AUS/ICC,1993,2008,161,6133,181*,43.8,10,0,-,-,-,0,-,no
BKV Prasad,INDIA,1994,2001,161,221,19,6.9,0,196,5,27,32.3,1,-25.39,no
JDP Oram,NZ,2001,2012,160,2434,101*,24.09,1,173,5,26,29.17,2,-5.07,no
D Gough,ENG/ICC,1994,2006,159,609,46*,12.42,0,235,5,44,26.42,2,-13.99,no
AL Logie,WI,1981,1993,158,2809,109*,28.95,1,0,-,-,-,0,-,no
Kamran Akmal,PAK,2002,2017,157,3236,124,26.09,5,-,-,-,-,-,-,yes
Aamer Sohail,PAK,1990,2000,156,4780,134,31.86,5,85,4,22,43.56,0,-11.69,no
Abdur Razzak,BDESH,2004,2014,153,779,53*,13.43,0,207,5,29,29.29,4,-15.86,no
MG Johnson,AUS,2005,2015,153,951,73*,16.11,0,239,6,31,25.26,3,-9.14,no
KS Williamson,NZ,2010,2020,151,6173,148,47.48,13,37,4,22,35.4,0,12.07,no
RJ Shastri,INDIA,1981,1992,150,3108,109,29.04,4,129,5,15,36.04,1,-6.99,no
T Taibu,Afr/ZIM,2001,2012,150,3393,107*,29.25,2,2,2,42,30.5,0,-1.24,no
JG Wright,NZ,1978,1992,149,3891,101,26.46,1,0,-,-,-,0,-,no
KJ O'Brien,IRE,2006,2020,148,3592,142,30.44,2,113,4,13,32.49,0,-2.05,no
UDU Chandana,SL,1994,2007,147,1627,89,17.3,0,151,5,61,31.9,1,-14.59,no
CRD Fernando,Asia/SL,2001,2012,147,239,20,9.19,0,187,6,27,30.2,1,-21.01,no
G Gambhir,INDIA,2003,2013,147,5238,150*,39.68,11,0,-,-,-,0,-,no
AP Gurusinha,SL,1985,1996,147,3902,117*,28.27,2,26,2,25,52.07,0,-23.8,no
RD Jacobs,WI,1996,2004,147,1865,80*,23.31,0,-,-,-,-,-,-,no
GJ Whittall,ZIM,1993,2003,147,2705,83,22.54,0,88,4,35,39.55,0,-17.01,no
LD Chandimal,SL,2010,2019,146,3599,111,32.42,4,-,-,-,-,-,-,no
JE Root,ENG,2013,2020,146,5922,133*,51.05,16,24,3,52,60.2,0,-9.15,no
K Srikkanth,INDIA,1981,1992,146,4091,123,29.01,4,25,5,27,25.64,2,3.37,no
Mushtaq Ahmed,PAK,1989,2003,144,399,34*,9.5,0,161,5,36,33.29,1,-23.79,no
Azhar Mahmood,PAK,1996,2007,143,1521,67,18.1,0,123,6,18,39.13,3,-21.02,no
MD Crowe,NZ,1982,1995,143,4704,107*,38.55,4,29,2,9,32.89,0,5.66,no
F du Plessis,SA,2011,2019,143,5507,185,47.47,12,2,1,8,94.5,0,-47.02,no
PV Simmons,WI,1987,1999,143,3675,122,28.93,5,83,4,3,34.65,0,-5.71,no
TG Southee,NZ,2008,2020,143,679,55,12.57,0,190,7,33,34.51,3,-21.94,no
JC Buttler,ENG,2012,2019,142,3843,150,40.88,9,-,-,-,-,-,-,yes
HDPK Dharmasena,SL,1994,2004,141,1222,69*,22.62,0,138,4,37,36.21,0,-13.58,no
A Flintoff,ENG/ICC,1999,2009,141,3394,123,32.01,3,169,5,19,24.38,2,7.63,no
NR Mongia,INDIA,1994,2000,140,1272,69,20.19,0,-,-,-,-,-,-,no
WTS Porterfield,IRE,2006,2020,139,4091,139,30.75,11,-,-,-,-,-,-,no
D Ramdin,WI,2005,2016,139,2200,169,25,2,-,-,-,-,-,-,no
DJ Cullinan,SA,1993,2000,138,3860,124,32.99,3,5,2,30,24.8,0,8.19,no
CJ McDermott,AUS,1985,1996,138,432,37,7.08,0,203,5,44,24.71,1,-17.63,no
S Dhawan,INDIA,2010,2020,136,5688,143,45.14,17,-,-,-,-,-,-,no
MD Marshall,WI,1980,1992,136,955,66,14.92,0,157,4,18,26.96,0,-12.03,no
TM Odoyo,Afr/KENYA,1996,2014,136,2420,111*,23.49,1,145,4,25,29.89,0,-6.4,no
KP Pietersen,ENG/ICC,2004,2013,136,4440,130,40.73,9,7,2,22,52.85,0,-12.12,no
NS Sidhu,INDIA,1987,1998,136,4413,134*,37.08,6,0,-,-,-,0,-,no
RR Singh,INDIA,1989,2001,136,2336,100,25.95,1,69,5,22,43.26,2,-17.3,no
SO Tikolo,Afr/KENYA,1996,2014,135,3428,111,29.05,3,94,4,41,34.2,0,-5.15,no
GP Wickramasinghe,SL,1990,2002,134,344,32,8.6,0,109,4,48,39.64,0,-31.04,no
SC Williams,ZIM,2005,2020,133,3761,129*,33.88,3,71,4,43,47.61,0,-13.73,no
DA Miller,SA,2010,2020,132,3231,139,40.38,5,-,-,-,-,-,-,no
M Prabhakar,INDIA,1984,1996,130,1858,106,24.12,2,157,5,33,28.87,2,-4.74,no
Umar Gul,PAK,2003,2016,130,457,39,9.72,0,179,6,42,29.34,2,-19.62,no
DB Vengsarkar,INDIA,1976,1991,129,3508,105,34.73,1,0,-,-,-,0,-,no
CG Greenidge,WI,1975,1991,128,5134,133*,45.03,11,1,1,21,45,0,0.03,no
JC Adams,WI,1992,2001,127,2204,82,28.62,0,43,5,37,34.86,1,-6.23,no
V Sibanda,Afr/ZIM,2003,2016,127,2994,116,24.54,2,3,1,12,88.33,0,-63.79,no
AJ Strauss,ENG,2003,2011,127,4205,158,35.63,6,0,-,-,-,0,-,no
HDRL Thirimanne,SL,2010,2019,127,3194,139*,34.71,4,3,2,36,31.33,0,3.38,no
AJ Finch,AUS,2013,2020,126,4882,153*,41.02,16,4,1,2,64.75,0,-23.72,no
BJ Haddin,AUS,2001,2015,126,3122,110,31.53,2,-,-,-,-,-,-,no
Khaled Mashud,BDESH,1995,2006,126,1818,71*,21.9,0,-,-,-,-,-,-,no
DJG Sammy,WI,2004,2015,126,1871,89,24.94,0,81,4,26,47.54,0,-22.59,no
GA Gooch,ENG,1976,1995,125,4290,142,36.98,8,36,3,19,42.11,0,-5.12,no
M Kaif,INDIA,2002,2006,125,2753,111*,32.01,2,-,-,-,-,-,-,no
Mohammad Rafique,Asia/BDESH,1995,2007,125,1191,77,13.38,0,125,5,47,37.91,1,-24.52,no
SPD Smith,AUS,2010,2020,125,4162,164,42.46,9,28,3,16,34.67,0,7.79,no
DW Steyn,Afr/SA,2005,2019,125,365,60,9.35,0,196,6,39,25.95,3,-16.59,no
Mohammad Nabi,AFG,2009,2019,124,2782,116,27.82,1,130,4,30,32.54,0,-4.72,no
GB Hogg,AUS,1996,2008,123,790,71*,20.25,0,156,5,32,26.84,2,-6.58,no
ME Trescothick,ENG,2000,2006,123,4335,137,37.37,12,4,2,7,54.75,0,-17.37,no
DA Warner,AUS,2009,2020,123,5267,179,45.8,18,0,-,-,-,0,-,no
AJ Lamb,ENG,1982,1992,122,4010,118,39.31,4,0,-,-,-,0,-,no
Mudassar Nazar,PAK,1977,1989,122,2653,95,25.26,0,111,5,28,30.91,1,-5.65,no
DJ Richardson,SA,1991,1998,122,868,53,19.72,0,-,-,-,-,-,-,no
SCJ Broad,ENG,2006,2016,121,529,45*,12.3,0,178,5,23,30.13,1,-17.83,no
Q de Kock,SA,2013,2020,121,5135,178,44.65,15,-,-,-,-,-,-,yes
GR Larsen,NZ,1990,1999,121,629,37,14.62,0,113,4,24,35.39,0,-20.77,no
KR Rutherford,NZ,1985,1995,121,3143,108,29.65,2,10,2,39,32.3,0,-2.64,no
Umar Akmal,PAK,2009,2019,121,3194,102*,34.34,2,-,-,-,-,-,-,yes
RS Bopara,ENG,2007,2015,120,2695,101*,30.62,1,40,4,38,38.07,0,-7.44,no
GA Hick,ENG,1991,2001,120,3846,126*,37.33,5,30,5,33,34.2,1,3.13,no
A Nehra,Asia/INDIA,2001,2011,120,141,24,5.64,0,157,6,23,31.72,2,-26.08,no
IK Pathan,INDIA,2004,2012,120,1544,83,23.39,0,173,5,27,29.72,2,-6.32,no
PR Stirling,IRE,2008,2020,120,4277,177,37.19,9,43,6,55,44.25,1,-7.06,no
WW Hinds,WI,1999,2010,119,2880,127*,28.51,5,28,3,24,29.89,0,-1.37,no
DS Lehmann,AUS,1996,2005,117,3078,119,38.96,4,52,4,7,27.78,0,11.17,no
GR Marsh,AUS,1986,1992,117,4357,126*,39.97,9,0,-,-,-,0,-,no
M Morkel,Afr/SA,2007,2018,117,268,32*,9.24,0,188,5,21,25.32,2,-16.08,no
IT Botham,ENG,1976,1992,116,2113,79,23.21,0,145,4,31,28.54,0,-5.32,no
NW Bracken,AUS,2001,2009,116,199,21*,11.7,0,174,5,47,24.36,2,-12.66,no
Sarfaraz Ahmed,PAK,2007,2019,116,2302,105,33.85,2,0,-,-,-,0,-,yes
N Boje,Afr/SA,1995,2005,115,1414,129,26.67,2,96,5,21,35.57,1,-8.89,no
Sir RJ Hadlee,NZ,1973,1990,115,1751,79,21.61,0,158,5,25,21.56,5,0.05,no
JO Holder,WI,2013,2020,115,1821,99*,24.94,0,136,5,27,36.38,2,-11.43,no
EJ Chatfield,NZ,1979,1989,114,118,19*,10.72,0,140,5,34,25.84,1,-15.11,no
DI Gower,ENG,1978,1991,114,3170,158,30.77,7,0,-,-,-,0,-,no
B Kumar,INDIA,2012,2019,114,526,53*,14.21,0,132,5,42,34.6,1,-20.38,no
DM Bravo,WI,2009,2020,113,2902,124,30.54,3,-,-,-,-,-,-,no
S Matsikenyeri,ZIM,2002,2015,113,2224,90,22.01,0,16,2,25,48.62,0,-26.6,no
KA Pollard,WI,2007,2020,113,2496,119,26,3,53,3,27,39.71,0,-13.71,no
Saeed Ajmal,PAK,2008,2015,113,324,33,7.04,0,184,5,24,22.72,2,-15.68,no
MA Taylor,AUS,1989,1997,113,3514,105,32.23,1,-,-,-,-,-,-,no
Asghar Afghan,AFG,2009,2019,111,2356,101,24.54,1,3,1,1,30.33,0,-5.79,no
R Ashwin,INDIA,2010,2017,111,675,65,16.07,0,150,4,25,32.91,0,-16.84,no
SV Carlisle,ZIM,1995,2005,111,2740,121*,27.67,3,-,-,-,-,-,-,no
Habibul Bashar,BDESH,1995,2007,111,2168,78,21.68,0,1,1,31,142,0,-120.31,no
JEC Franklin,NZ,2001,2013,110,1270,98*,23.96,0,81,5,42,41.4,1,-17.44,no
GJ Maxwell,AUS,2012,2019,110,2877,102,32.32,1,50,4,46,50.5,0,-18.17,no
MF Maharoof,SL,2004,2016,109,1113,69*,19.52,0,135,6,14,28.06,2,-8.54,no
RL Powell,WI,1999,2005,109,2085,124,24.82,1,11,2,5,44.63,0,-19.81,no
KC Wessels,AUS/SA,1983,1994,109,3367,107,34.35,1,18,2,16,37,0,-2.64,no
M Dillon,WI,1997,2005,108,227,21*,7.32,0,130,5,29,32.44,3,-25.12,no
SM Gavaskar,INDIA,1974,1987,108,3092,103*,35.13,1,1,1,10,25,0,10.13,no
HH Dippenaar,Afr/SA,1999,2007,107,3421,125*,42.23,4,-,-,-,-,-,-,no
Imran Tahir,SA,2011,2019,107,157,29,7.85,0,173,7,45,24.83,3,-16.98,no
MM Ali,ENG,2014,2020,105,1784,128,25.12,3,85,4,46,49.95,0,-24.82,no
KLT Arthurton,WI,1988,1999,105,1904,84,26.08,0,42,4,31,27.59,0,-1.51,no
RA Harper,WI,1983,1996,105,855,45*,16.13,0,100,4,40,34.31,0,-18.17,no
DR Smith,WI,2004,2015,105,1560,97,18.57,0,61,5,45,37.45,1,-18.88,no
GC Wilson,IRE,2007,2019,105,2072,113,23.81,1,-,-,-,-,-,-,no
Abdul Qadir,PAK,1983,1993,104,641,41*,15.26,0,132,5,44,26.16,2,-10.9,no
CJ Chibhabha,ZIM,2005,2020,104,2399,99,23.51,0,35,4,25,46.14,0,-22.62,no
VG Kambli,INDIA,1991,2000,104,2477,106,32.59,2,1,1,7,7,0,25.59,no
CO Obuya,KENYA,2001,2014,104,2044,98*,25.55,0,35,5,24,46.77,1,-21.22,no
PAJ DeFreitas,ENG,1987,1997,103,690,67,16.04,0,115,4,35,32.82,0,-16.77,no
NJ O'Brien,IRE,2006,2018,103,2581,109,28.05,1,-,-,-,-,-,-,no
AU Rashid,ENG,2009,2020,103,593,69,17.96,0,151,5,27,31.25,2,-13.28,no
MA Holding,WI,1976,1987,102,282,64,9.09,0,142,5,26,21.36,1,-12.26,no
CK Kapugedera,SL,2006,2017,102,1624,95,21.09,0,2,1,24,112.5,0,-91.4,no
RW Price,ZIM,2002,2012,102,406,46,9.66,0,100,4,22,35.75,0,-26.08,no
L Vincent,NZ,2001,2007,102,2413,172,27.11,3,1,1,0,25,0,2.11,no
MDKJ Perera,SL,2013,2020,101,2825,135,31.04,5,-,-,-,-,-,-,no
